;German Original;English Translation;
Group 1: final list of adjective pairs that are loading on the underlying factors,;eindeutig -- mehrdeutig ;unambiguous -- ambiguous;
;einfach -- kompliziert;simple -- complicated;
;logisch -- unlogisch;logical -- illogical;
;präzise -- ungenau;precise -- vague;
;simpel -- komplex;straightforward -- complex;
;vollständig -- lückenhaft;complete -- incomplete;
;vorhersehbar -- unberechenbar;predictable -- unpredictable;
;zusammenhängend -- unzusammenhängend;coherent -- incoherent;
;vollständig -- lückenhaft;complete -- incomplete;
Group 2: list of adjective pairs that were removed during the factor analysis for the sake of interpretability;anspruchsvoll -- anspruchslos;sophisticated -- unsophisticated;
;ausführlich -- knapp;elaborate -- terse;
;direkt -- umständlich;direct -- ponderous;
;fehlerfrei -- fehlerhaft;error-free -- faulty;
;fließend -- holprig;fluent -- non-fluent;
;geordnet -- ungeordnet;ordered -- disordered;
;grammatisch -- ungrammatisch;grammatical -- ungrammatical;
;klar -- wirr;clear -- chaotic;
;sinnvoll -- sinnlos;meaningful -- meaningless;
;übersichtlich -- verwirrend;neat -- confusing;
;verständlich -- unverständlich;comprehensible -- incomprehensible;
;widerspruchsfrei -- widersprüchlich;consistent -- contradictory;
;wortreich -- wortarm;verbose -- concise;
;formell -- informell;formal -- informal;
;geordnet -- durcheinander;orderly -- messy;
;geschrieben -- gesprochen;written -- spoken;
;höflich -- unhöflich;polite -- impolite;
;logisch -- unlogisch;logical -- illogical;
;menschlich -- technisch;human -- technical;
;muttersprachlich -- fremdprachlich;native -- foreign-language;
;persönlich -- unpersönlich;personal -- impersonal;
;professionell -- laienhaft;professional -- unprofessional;
