fold;sentence;overall;präzision;komplexität;transparenz;grammatikalität;average_sentence_length;percentage_words_six_letters;average_number_syllables;percentage_words_one_syllable;percentage_words_three_syllables;flesch_reading_ease;wiener_sachtextformel_1;wiener_sachtextformel_2;wiener_sachtextformel_3;wiener_sachtextformel_4;smog_index;coleman_liau_index;gunning_fog_index;average_chars_per_word;type_token_ratio;root_type_token_ratio;corrected_type_token_ratio;dugast_uber_index;mtld_measure;herdans_measure;summers_measure;maas_measure;yules_k;simpsons_d;lexical_density;number_unique_tokens;content_word_distribution;foreign_words_count;adjective_count;verb_count;adverb_count;noun_count;proper_noun_count;adposition_count;aux_verb_count;conjunction_count;determiner_count;lexical_item_count;grammatical_item_count;numerical_count;particle_count;punctuation_count;personal_pronoun_count;first_person_pronoun_count;second_person_pronoun_count;third_person_pronoun_count;interrogative_pronoun_count;demonstrative_count;singular_word_count;plural_word_count;indefinite_word_count;definite_word_count;finite_verb_count;infinitive_verb_count;past_tense_count;present_tense_count;passive_voice_count;bilogarithmic_ttr;avg_aux_length;noun_variation;modifier_variation;adjective_variation;adverb_variation;verb_variation;sein_to_verb_ratio;haben_to_verb_ratio;noun_token_ratio;verb_token_ratio;noun_phrases_per_sentence_count;verb_phrases_per_sentence_count;first_person_verbs_to_finite_verbs_ratio;infinitive_verbs_to_verbs_ratio;participle_verbs_to_verbs_ratio;imperative_verbs_to_verbs_ratio;present_tense_verbs_to_finite_verbs_ratio;past_tense_verbs_to_finite_verbs_ratio;second_person_verbs_to_finite_verbs_ratio;third_person_verbs_to_finite_verbs_ratio;subjunctive_verbs_to_finite_verbs_ratio;finite_verbs_to_verbs_ratio;accusative_nouns_to_nouns_ratio;dative_nouns_to_nouns_ratio;genitive_nouns_to_nouns_ratio;nominative_nouns_to_nouns_ratio;std_dev_tokens_per_sentence;pronouns_per_sentence_count;aux_to_verb_ratio;verbs_per_sentence_count;verb_to_noun_ratio;verb_to_adverb_ratio;noun_to_pronoun_ratio;characters_per_sentence_count;avg_sentence_length_in_characters;zipf_steepness_curve;zipf_goodness_fit;avg_adjective_length;avg_adverb_length;avg_lexical_verb_length;avg_noun_length;avg_proper_noun_length;avg_adposition_length;avg_conjunction_length;avg_determiner_length;avg_numeral_length;avg_particle_length;avg_pronoun_length;avg_verb_length;adjective_ttr;adverb_ttr;lexical_verb_ttr;noun_ttr;verb_ttr;proper_noun_ttr;lexical_items_ttr;adposition_ttr;aux_ttr;conjunction_ttr;determiner_ttr;particle_ttr;pronoun_ttr;grammatical_ttr;aux_to_lexical_verb_ratio
3;"""Diese Dinge können nicht zurückgegangen werden,"" sagte Grant Reeher, Professor für Politikwissenschaft an der Maxwell School der Syracuse University, für eine von Satrurdag veröffentlichte Artikel.";3.14;3.29;3.29;3.14;3.71;12.5;52.0;2.04;52.0;28.000000000000004;2130.66;11.677;12.5455;15.277850000000004;17.4956;24.504239297791724;21.345599999999997;49.80000000000001;6.72;0.92;4.6;3.2526911934581184;124.2619530584326;87.50000000000006;0.9740960467331898;0.977549489112762;0.0080475155539343;63.99999999999996;0.0066666666666666;0.92;23.0;0.2258064516129032;0.0;0.032258064516129;0.1290322580645161;0.0;0.3548387096774194;0.2258064516129032;0.1290322580645161;0.064516129032258;0.0;0.1290322580645161;0.5161290322580645;0.3548387096774194;0.0;0.032258064516129;0.1935483870967742;0.0;0.0;0.0;0.0;0.0;0.0;0.064516129032258;0.064516129032258;0.032258064516129;0.064516129032258;0.032258064516129;0.0;0.032258064516129;0.0;0.0;0.9740960467331898;6.0;0.6875;0.0625;0.0625;0.0;0.25;0.0;0.0;0.25;0.25;11.0;4.0;0.0;0.25;0.25;0.0;0.5;0.5;0.0;1.0;0.0;0.5;0.0909090909090909;0.2727272727272727;0.1818181818181818;0.4545454545454545;0.0;0.0;1.0;4.0;0.3636363636363636;0.0;0.0;197.0;197.0;0.2124938626522208;-4.840516435881986;15.0;0.0;9.5;10.0;7.285714285714286;2.75;0.0;3.75;0.0;5.0;0.0;7.75;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.75;1.0;0.0;0.75;1.0;0.0;0.8181818181818182;1.0
4;"""Wenn jemand eine zweite Sprache erlernt hat, wird er einen echten Vorteil haben, da ein solches Lebenlanges-Skillet wie dieses zur Verfügung gestellt wird.""";4.0;3.63;3.25;4.0;3.38;12.0;50.0;1.625;50.0;8.333333333333332;2064.9375;7.5939;8.304899999999998;9.132666666666664;11.663866666666667;14.7901945026614;13.338333333333336;18.688888888888886;5.375;0.9565217391304348;4.587317109255645;3.243723035407737;237.31479447165063;148.12000000000012;0.9858230443082924;0.9875056233985432;0.0045214421444903;37.80718336483933;0.0039525691699604;0.9583333333333334;23.0;0.3225806451612903;0.0;0.064516129032258;0.1935483870967742;0.0;0.1612903225806451;0.0;0.064516129032258;0.0967741935483871;0.0;0.1935483870967742;0.4193548387096774;0.4838709677419355;0.0;0.0;0.1935483870967742;0.064516129032258;0.0;0.0;0.032258064516129;0.0;0.0;0.1612903225806451;0.0;0.0967741935483871;0.032258064516129;0.0;0.032258064516129;0.0;0.0;0.0;1.0;3.6666666666666665;0.3846153846153846;0.1538461538461538;0.1538461538461538;0.0;0.3846153846153846;0.0;0.3333333333333333;0.3846153846153846;0.4615384615384615;5.0;6.0;0.0;0.1666666666666666;0.3333333333333333;0.0;1.0;0.0;0.0;1.0;0.0;0.5;0.4;0.2;0.0;0.4;12.0;2.0;1.0;6.0;1.2;0.0;2.5;78.0;78.0;0.0;0.0;6.0;0.0;6.666666666666667;8.2;0.0;2.5;3.0;4.666666666666667;0.0;0.0;4.0;5.166666666666667;1.0;0.0;1.0;1.0;0.8333333333333334;0.0;1.0;1.0;0.6666666666666666;1.0;1.0;0.0;1.0;0.9333333333333332;1.0
4;2018: Erhebliche Erdbeben treffen die Touristeninsel Lombok in Indonesien, wobei mehr als 500 Menschen getötet werden, hauptsächlich auf der nördlichen Seite der Insel.;5.43;5.0;5.14;5.57;5.57;11.5;47.82608695652174;2.0;43.47826086956522;30.434782608695656;1953.0;11.718234782608697;12.570691304347829;15.554880434782609;17.609617391304347;25.41422323033697;17.92869565217391;57.53005671077506;6.173913043478261;0.9523809523809524;4.364357804719848;3.086066999241838;221.1683724005085;123.47999999999988;0.983974444213354;0.9854893430852982;0.0052637338414984;45.35147392290252;0.0047619047619047;0.9565217391304348;22.0;0.4444444444444444;0.0;0.1111111111111111;0.1111111111111111;0.074074074074074;0.2592592592592592;0.074074074074074;0.1111111111111111;0.037037037037037;0.0;0.1111111111111111;0.5555555555555556;0.2592592592592592;0.074074074074074;0.0;0.1481481481481481;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.074074074074074;0.0;0.1111111111111111;0.037037037037037;0.0;0.0;0.037037037037037;0.0;0.9858230443082924;6.0;0.4666666666666667;0.3333333333333333;0.2;0.1333333333333333;0.2;0.0;0.0;0.3333333333333333;0.2;7.0;3.0;0.0;0.0;0.3333333333333333;0.0;1.0;0.0;0.0;1.0;0.0;0.6666666666666666;0.2857142857142857;0.2857142857142857;0.1428571428571428;0.2857142857142857;0.0;0.0;0.5;3.0;0.4285714285714285;1.5;0.0;167.0;167.0;0.1348360062629361;-8.130080428270908;11.0;4.5;7.0;8.0;8.0;2.6666666666666665;0.0;3.0;3.5;0.0;0.0;6.666666666666667;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.6666666666666666;0.0;0.0;0.8571428571428571;0.5
1;Ab November wird Kit in einer Neuinszenierung von Sam Shepards True West die Hauptrolle spielen, die die Geschichte eines Filmproduzenten und seines Bruders, der ein Räuber ist, erzählt.;4.22;4.22;2.67;3.67;4.89;14.0;39.285714285714285;1.6785714285714286;53.57142857142857;10.714285714285714;2421.803571428572;6.882585714285715;7.531657142857142;8.408428571428571;10.102685714285712;16.351538315227643;14.635714285714284;20.90612244897959;5.535714285714286;0.9285714285714286;4.913538149119954;3.474396144861517;149.82985736810946;109.76000000000008;0.9777600768718048;0.9813141226102244;0.0066742371484953;76.53061224489798;0.0079365079365079;0.9285714285714286;26.0;0.25;0.0;0.0;0.125;0.0;0.375;0.1875;0.09375;0.0625;0.03125;0.1875;0.5;0.4375;0.0;0.0;0.125;0.0625;0.0;0.0;0.0;0.0;0.0625;0.1875;0.0;0.09375;0.0625;0.03125;0.03125;0.0;0.03125;0.0;0.9777600768718048;3.5;0.75;0.0;0.0;0.0;0.25;0.25;0.0;0.375;0.25;12.0;4.0;0.0;0.25;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.75;0.1666666666666666;0.4166666666666667;0.25;0.1666666666666666;0.0;2.0;1.0;4.0;0.3333333333333333;0.0;6.0;185.0;185.0;0.1705180086106719;-1.687036235321734;0.0;0.0;7.0;10.5;5.0;2.333333333333333;3.0;4.166666666666667;0.0;0.0;3.0;5.25;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8333333333333334;0.0;1.0;0.8571428571428571;1.0
1;Aber weil Paddington für ihn so real war, war es fast so, als ob man ein Kind hat, das etwas erreicht: Man ist stolz auf es, obwohl es eigentlich nicht das eigene Verdienst ist.;3.25;3.88;3.5;3.63;2.75;17.0;17.647058823529413;1.2941176470588236;76.47058823529412;5.88235294117647;2984.294117647059;2.8938705882352944;3.3489882352941187;3.1746764705882367;2.7922588235294112;12.926379034027164;6.324705882352937;13.720415224913497;4.0588235294117645;0.7941176470588235;4.630461798847739;3.2742309379904952;53.94335064979267;46.24;0.9346284485087002;0.946355616636438;0.0185379659949588;138.40830449826987;0.0142602495543672;0.8235294117647058;28.0;0.275;0.0;0.075;0.15;0.1;0.075;0.025;0.05;0.1;0.025;0.05;0.4;0.55;0.0;0.025;0.15;0.2;0.0;0.0;0.1;0.0;0.025;0.05;0.0;0.025;0.025;0.025;0.0;0.0;0.025;0.0;0.9738049131714716;3.0;0.1875;0.375;0.1875;0.1875;0.25;0.6666666666666666;0.1666666666666666;0.125;0.375;3.0;6.0;0.0;0.0;0.1666666666666666;0.0;0.6;0.4;0.0;1.0;0.0;0.8333333333333334;0.3333333333333333;0.0;0.0;0.6666666666666666;0.0;8.0;2.0;6.0;2.0;1.5;0.375;176.0;176.0;0.2144760440197252;-5.752169534097203;5.0;4.5;5.5;6.5;10.0;3.0;3.8;3.0;0.0;5.0;2.875;3.8333333333333335;1.0;0.75;1.0;1.0;0.6666666666666666;1.0;0.9090909090909092;1.0;0.5;1.0;1.0;1.0;0.625;0.7272727272727273;2.0
1;Allerdings argumentieren Befürworter des Referendums, einschließlich des Premierministers Zoran Zaev, dass die Namensänderung einfach der Preis ist, um der EU und der NATO beizutreten.;5.86;5.86;5.57;5.86;5.86;12.0;37.5;2.1666666666666665;54.16666666666666;33.33333333333333;2033.25;10.673899999999998;11.470316666666664;14.434333333333331;15.320533333333334;26.451289005322803;20.19833333333333;60.35555555555555;6.541666666666667;0.875;4.286607049870562;3.031088913245536;75.63784028666241;53.760000000000005;0.9579832816708762;0.9628763270409156;0.0132208957343317;138.88888888888889;0.0144927536231884;0.875;21.0;0.3214285714285714;0.0;0.0;0.1071428571428571;0.0714285714285714;0.3214285714285714;0.1428571428571428;0.0714285714285714;0.0357142857142857;0.0357142857142857;0.2142857142857142;0.5;0.3928571428571428;0.0;0.0;0.1428571428571428;0.0;0.0;0.0;0.0;0.0;0.0;0.1428571428571428;0.0357142857142857;0.0;0.2142857142857142;0.0357142857142857;0.0357142857142857;0.0;0.0357142857142857;0.0;0.9579832816708762;3.0;0.6428571428571429;0.1428571428571428;0.0;0.1428571428571428;0.2142857142857142;0.3333333333333333;0.0;0.3571428571428571;0.2142857142857142;9.0;3.0;0.0;0.3333333333333333;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.6666666666666666;0.0;0.2222222222222222;0.4444444444444444;0.3333333333333333;0.0;0.0;0.5;3.0;0.3333333333333333;1.5;0.0;183.0;183.0;0.3011251312402526;-0.4881588693740986;0.0;8.5;12.0;11.4;3.75;8.0;3.5;3.0;0.0;0.0;0.0;9.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;0.7272727272727273;0.5
6;Am Freitag ordnete Trump eine einwöchige FBI-Untersuchung der Vorwürfe gegen Kavanaugh an, was eine vollständige Abstimmung im Senat weiter verzögerte.;4.88;5.38;4.38;4.5;5.13;10.5;47.61904761904761;1.9047619047619049;42.85714285714285;28.57142857142857;1778.571428571429;11.183933333333332;12.020338095238094;14.80810714285714;16.83403809523809;24.721251351822264;17.500952380952388;58.62176870748299;6.142857142857143;0.95;4.2485291572496005;3.00416377715996;189.97921059689017;111.99999999999991;0.9828778776927556;0.9842594069396432;0.0057155048394666;49.99999999999997;0.0052631578947368;0.9523809523809524;20.0;0.3461538461538461;0.0;0.1153846153846153;0.0769230769230769;0.0;0.3076923076923077;0.1538461538461538;0.1538461538461538;0.0;0.0;0.1923076923076923;0.5;0.3846153846153846;0.0;0.0;0.1153846153846153;0.0384615384615384;0.0;0.0;0.0;0.0384615384615384;0.0;0.1153846153846153;0.0384615384615384;0.0769230769230769;0.1153846153846153;0.0769230769230769;0.0;0.0769230769230769;0.0;0.0;0.9828778776927556;0.0;0.6153846153846154;0.2307692307692307;0.2307692307692307;0.0;0.1538461538461538;0.0;0.0;0.3076923076923077;0.1538461538461538;8.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.5;0.25;0.125;0.125;0.0;1.0;0.0;2.0;0.25;0.0;8.0;150.0;150.0;0.1422409696008451;-7.335434838254908;9.333333333333334;0.0;8.5;8.75;6.0;2.75;0.0;3.4;0.0;0.0;3.0;8.5;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.75;0.0;0.0;0.6;0.0;1.0;0.7;0.0
1;An der Spitze davon kam eine Mädchen zu mir und sagte: „Warum erzählt man mir das erst jetzt im Abschlussjahr?“;4.13;3.38;3.75;3.5;3.75;10.0;20.0;1.3;75.0;5.0;1723.95;1.906;2.3655;2.0085;1.3480000000000008;12.161744961471694;7.112000000000002;14.0;4.4;0.9523809523809524;4.364357804719848;3.086066999241838;174.96267225509237;123.47999999999988;0.983974444213354;0.9854893430852982;0.0052637338414984;45.35147392290252;0.0047619047619047;0.95;19.0;0.4;0.0;0.0;0.12;0.16;0.12;0.0;0.12;0.0;0.04;0.12;0.4;0.44;0.0;0.0;0.16;0.16;0.08;0.0;0.0;0.0;0.04;0.12;0.0;0.04;0.08;0.12;0.0;0.08;0.04;0.0;0.9828778776927556;0.0;0.3;0.4;0.0;0.4;0.3;0.0;0.0;0.3;0.3;3.0;3.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.6666666666666666;0.0;1.0;0.0;1.0;0.0;0.6666666666666666;0.0;0.3333333333333333;10.0;4.0;0.0;3.0;1.0;0.75;0.75;55.0;55.0;0.1422409696008451;-7.335434838254908;0.0;4.75;5.0;8.666666666666666;0.0;2.0;3.0;3.333333333333333;0.0;0.0;3.0;5.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.75;0.9090909090909092;0.0
0;Bough ist jetzt ein verheirateter Mann, der an einen U-Boot-Kommandanten gebunden ist, eine fröhlich-hockey-sticks Rolle, in der Vicki Pepperdine ein wenig verschwendet ist.;0.83;2.0;1.33;0.83;1.5;13.5;29.629629629629623;1.6666666666666667;62.96296296296296;18.51851851851852;2332.5;6.749607407407407;7.3819222222222205;8.714527777777777;9.150414814814813;20.51243333333333;13.14962962962963;32.834842249657065;5.296296296296297;0.8260869565217391;3.9617738670844207;2.8013971669430457;67.74579715515581;37.03;0.9390669465144929;0.944986670806494;0.019433317138954;189.0359168241966;0.0197628458498023;0.8518518518518519;23.0;0.3428571428571428;0.0285714285714285;0.1142857142857142;0.1428571428571428;0.0285714285714285;0.2285714285714285;0.0857142857142857;0.0571428571428571;0.0857142857142857;0.0;0.1428571428571428;0.5142857142857142;0.3428571428571428;0.0;0.0;0.2285714285714285;0.0571428571428571;0.0;0.0;0.0;0.0;0.0571428571428571;0.1428571428571428;0.0;0.1142857142857142;0.0;0.0;0.0;0.0;0.0;0.0;0.9709864627580668;3.0;0.4444444444444444;0.2777777777777778;0.2222222222222222;0.0555555555555555;0.1666666666666666;0.6;0.0;0.2777777777777778;0.2777777777777778;8.0;5.0;0.0;0.0;0.4;0.0;1.0;0.0;0.0;1.0;0.0;0.6;0.5;0.0;0.0;0.5;0.0;2.0;1.5;5.0;0.625;5.0;4.0;172.0;172.0;0.2450707229357066;-3.6435645158830665;8.25;5.0;10.0;5.2;6.666666666666667;2.0;0.0;4.0;0.0;0.0;3.0;5.8;1.0;1.0;1.0;1.0;0.6;1.0;1.0;1.0;0.3333333333333333;0.0;0.8;0.0;0.5;0.6666666666666666;1.5
0;Das Erdbeben zerstörte Tausende von Gebäuden und ließ Tausende von Touristen vorübergehend gestrandet zurück.;5.25;5.5;5.25;5.5;5.5;7.0;64.28571428571429;2.142857142857143;35.714285714285715;35.714285714285715;1134.642857142857;14.376114285714287;15.3864;19.14992857142857;22.260628571428573;27.26985910156928;19.87142857142857;104.8408163265306;6.785714285714286;0.8571428571428571;3.2071349029490928;2.2677868380553634;45.18062195249864;27.439999999999998;0.9415887339401864;0.9379788365500048;0.0221333827819228;204.0816326530613;0.0219780219780219;0.8571428571428571;12.0;0.6666666666666666;0.0;0.0666666666666666;0.2;0.0666666666666666;0.3333333333333333;0.0;0.1333333333333333;0.0;0.0666666666666666;0.0666666666666666;0.6666666666666666;0.2666666666666666;0.0;0.0;0.0666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0666666666666666;0.2666666666666666;0.0;0.0666666666666666;0.1333333333333333;0.0;0.1333333333333333;0.0;0.0;0.9415887339401864;0.0;0.4;0.2;0.1;0.1;0.3;0.0;0.0;0.5;0.3;5.0;3.0;0.0;0.0;0.3333333333333333;0.0;0.0;1.0;0.0;1.0;0.0;0.6666666666666666;0.4;0.4;0.0;0.2;0.0;0.0;0.0;3.0;0.6;3.0;0.0;108.0;108.0;0.3107599862723871;-2.1488229644644976;13.0;6.0;7.666666666666667;8.2;0.0;3.0;3.0;3.0;0.0;0.0;0.0;7.666666666666667;1.0;1.0;1.0;0.8;1.0;0.0;0.9;0.5;0.0;1.0;1.0;0.0;0.0;0.75;0.0
